AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
43,0.513,680,'3 3BR','1980-1989',20000
44,0.2225915493,760,'4 4BR+','1980-1989',71000
58,0.2178312657,680,'3 3BR','1980-1989',63000
22,0.21745562129999998,519,'1 1BR','1980-1989',27040
48,0.28285714289999997,600,'1 1BR','1980-1989',14000
42,0.2922857143,788,'3 3BR','1980-1989',42000
-9,-9.0,702,'2 2BR','1980-1989',-9
23,0.14475,546,'2 2BR','1980-1989',48000
51,0.2962,680,'3 3BR','1980-1989',58000
47,0.1896,1081,'4 4BR+','2000-2009',125000
66,0.1062,1081,'4 4BR+','1980-1989',0
47,0.3072794118,1006,'3 3BR','1980-1989',54400
30,0.2142915669,874,'4 4BR+','1980-1989',439364
49,0.20656,916,'3 3BR','1980-1989',75000
60,0.19980487800000002,972,'3 3BR','1980-1989',0
47,0.0654,862,'3 3BR','2000-2009',80000
59,0.28984925629999997,629,'2 2BR','1990-1999',550
45,0.2545781777,862,'3 3BR','1990-1999',42000
54,0.3854404647,607,'2 2BR','1990-1999',65000
35,0.17735593219999998,892,'4 4BR+','2000-2009',57000
-9,-9.0,531,'1 1BR','1980-1989',-9
33,0.2062758621,972,'3 3BR','1980-1989',58000
42,0.0809174312,760,'4 4BR+','1990-1999',59050
37,0.3976363636,963,'4 4BR+','2000-2009',44000
52,0.2177647059,879,'3 3BR','2000-2009',136000
-9,-9.0,1034,'3 3BR','2000-2009',-9
27,0.24621176469999997,750,'1 1BR','1990-1999',42500
54,4.4472,1035,'4 4BR+','1980-1989',5000
37,16.404,833,'3 3BR','1980-1989',2000
52,0.1872187996,940,'4 4BR+','1990-1999',77883
70,0.5820560748,1080,'3 3BR','1980-1989',0
82,0.0833404129,1017,'2 2BR','1980-1989',0
46,0.2508,1168,'3 3BR','1980-1989',14000
56,0.055862069,2054,'4 4BR+','1990-1999',100000
44,0.18362068969999998,984,'3 3BR','1990-1999',86000
63,0.045579130999999995,759,'3 3BR','1990-1999',0
36,0.0,970,'1 1BR','1980-1989',5000
63,0.1552941176,1068,'4 4BR+','1980-1989',99000
56,0.38513595659999994,657,'2 2BR','1980-1989',24677
23,0.0818300654,841,'3 3BR','2000-2009',91000
28,0.1369930404,841,'3 3BR','2000-2009',69091
42,0.1414285714,841,'3 3BR','2000-2009',70000
51,0.1079294118,874,'4 4BR+','1980-1989',170000
-9,-9.0,631,'1 1BR','1980-1989',-9
26,0.2086666667000001,680,'3 3BR','1990-1999',90000
50,0.14663414630000002,834,'4 4BR+','1980-1989',164000
34,0.2086956522,890,'4 4BR+','1960-1979',23000
63,0.4280130293,564,'2 2BR','1980-1989',1216
57,0.1541538462,1121,'3 3BR','2000-2009',26000
31,0.34086075950000005,1328,'4 4BR+','2000-2009',75000
34,0.3947368421,687,'3 3BR','2000-2009',19000
-9,-9.0,712,'4 4BR+','1990-1999',-9
31,0.3530779165,1168,'3 3BR','2000-2009',41600
46,0.1776,724,'2 2BR','1990-1999',45000
-9,-9.0,1006,'3 3BR','2000-2009',-9
52,0.046772229000000005,827,'3 3BR','1980-1989',75000
54,0.047308541100000004,829,'3 3BR','1990-1999',139617
48,0.1333080569,800,'4 4BR+','1980-1989',103000
92,2.0,596,'0 Studio','1990-1999',0
35,0.18631802120000002,893,'4 4BR+','2000-2009',140000
29,0.5845714286,920,'4 4BR+','1980-1989',35000
26,0.2316,1240,'3 3BR','2000-2009',70000
22,-1.0,912,'2 2BR','1980-1989',10000
45,0.1802553191,1435,'4 4BR+','2000-2009',94000
58,0.0424,712,'3 3BR','1980-1989',150000
64,0.30256684489999996,912,'2 2BR','1980-1989',27200
-9,-9.0,631,'1 1BR','1980-1989',-9
-9,-9.0,712,'3 3BR','2000-2009',-9
28,0.1096666667,831,'3 3BR','2000-2009',72000
84,6.6369230769000005,686,'1 1BR','1980-1989',0
-9,-9.0,1087,'3 3BR','2000-2009',-9
49,0.1175,919,'4 4BR+','1980-1989',144000
48,0.2834437086,548,'2 2BR','1980-1989',0
63,0.0549056493,652,'2 2BR','1980-1989',0
45,0.1076756757,823,'3 3BR','1990-1999',185000
68,0.2701714286,1006,'4 4BR+','1980-1989',16000
32,0.036545454500000005,1367,'4 4BR+','2000-2009',110000
52,0.11919872179999999,1923,'4 4BR+','2000-2009',8000
39,0.15632432429999998,833,'3 3BR','2000-2009',37000
42,0.1373052632,806,'3 3BR','1980-1989',93000
80,0.14125,1006,'3 3BR','2000-2009',0
28,0.1986,788,'3 3BR','2000-2009',60000
53,0.0661774747,897,'4 4BR+','2000-2009',439364
50,0.2185333333,821,'4 4BR+','1990-1999',89000
63,0.1509295775,1389,'4 4BR+','1990-1999',70000
35,1.168,891,'1 1BR','1980-1989',4500
62,0.035037087,1765,'4 4BR+','1980-1989',18800
28,0.5112,610,'3 3BR','1980-1989',10000
57,0.2736,1100,'3 3BR','1980-1989',100000
