,AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
0,-9,-9.0,1048,'3 3BR','2000-2009',-9
1,69,0.1207594937,1048,'3 3BR','2000-2009',0
2,45,0.3683076923,757,'3 3BR','1980-1989',26000
3,47,0.099419707,847,'4 4BR+','1980-1989',126000
4,30,0.1340625,616,'2 2BR','1980-1989',42000
5,50,0.2824,605,'1 1BR','1980-1989',15000
6,44,0.0885517241,807,'3 3BR','1980-1989',145000
7,-9,-9.0,778,'2 2BR','1980-1989',-9
8,24,0.07925,599,'2 2BR','1980-1989',96000
9,53,0.1526117647,757,'3 3BR','1980-1989',85000
10,49,0.1589174185,974,'4 4BR+','2000-2009',165000
11,44,0.1857203211,974,'4 4BR+','2000-2009',71000
12,61,0.2109230769,956,'4 4BR+','1980-1989',104000
13,29,1.608,572,'2 2BR','1980-1989',0
14,21,0.30768,572,'2 2BR','2000-2009',25000
15,49,0.2167345867,1097,'3 3BR','1980-1989',93000
16,31,0.1394906661,871,'4 4BR+','1980-1989',485968
17,51,0.2960747664,900,'3 3BR','1980-1989',53500
18,49,0.0399648506,930,'3 3BR','2000-2009',90000
19,61,0.30923076920000003,930,'3 3BR','1990-1999',0
20,45,-1.0,930,'3 3BR','1990-1999',0
21,53,0.1532631579,923,'4 4BR+','2000-2009',150000
22,56,0.0661293107,818,'3 3BR','1990-1999',125000
23,20,0.545,583,'1 1BR','1980-1989',12000
24,48,0.15204,1169,'4 4BR+','2000-2009',200000
25,34,0.2228148148,1042,'3 3BR','1980-1989',81000
26,44,0.07952000000000001,847,'4 4BR+','1990-1999',70000
27,39,0.3519272727,961,'4 4BR+','2000-2009',55000
28,54,0.29072,882,'3 3BR','2000-2009',130000
29,46,0.02768,948,'3 3BR','2000-2009',150000
30,50,0.5881656805,951,'4 4BR+','1980-1989',50000
31,-9,-9.0,948,'3 3BR','2000-2009',-9
32,24,0.2005090909,700,'1 1BR','1990-1999',55000
33,17,0.4846666667,961,'4 4BR+','2000-2009',18000
34,-9,-9.0,779,'2 2BR','2000-2009',-9
35,80,0.3275473698,481,'1 1BR','1980-1989',0
36,39,0.0709884057,831,'3 3BR','1980-1989',0
37,54,0.1767871156,956,'4 4BR+','1990-1999',85000
38,17,0.4477452229,1466,'4 4BR+','1980-1989',139000
39,84,0.12,1064,'2 2BR','1980-1989',0
40,48,0.0656,1205,'3 3BR','1980-1989',60000
41,58,0.052023529400000004,1820,'4 4BR+','1990-1999',105000
42,-9,-9.0,757,'3 3BR','2000-2009',-9
43,46,0.4696,1043,'3 3BR','1990-1999',0
44,45,0.17526857140000002,910,'3 3BR','2000-2009',75000
45,64,0.0645719178,815,'3 3BR','1990-1999',200000
46,64,0.1102396514,1174,'4 4BR+','1980-1989',10500
47,58,0.16176,689,'2 2BR','1980-1989',25000
48,47,0.4295,883,'3 3BR','2000-2009',24000
49,39,0.1387058824,883,'3 3BR','2000-2009',68000
50,53,0.1917859134,923,'4 4BR+','1980-1989',112976
51,44,0.3184,910,'3 3BR','2000-2009',60000
52,47,0.1974857143,676,'1 1BR','1980-1989',35000
53,28,0.2245,757,'3 3BR','1990-1999',96000
54,52,0.13242,883,'4 4BR+','1980-1989',189000
55,36,0.24791999999999997,897,'4 4BR+','1960-1979',50000
56,65,0.2510670349,615,'2 2BR','1980-1989',7000
57,59,0.660104834,1157,'3 3BR','2000-2009',12000
58,33,0.5929756098,1362,'4 4BR+','2000-2009',82000
59,31,0.3464197531,1204,'4 4BR+','2000-2009',43500
60,-9,-9.0,710,'2 2BR','2000-2009',-9
61,36,0.2057142857,735,'3 3BR','2000-2009',21000
62,44,1.0142727273,735,'3 3BR','1990-1999',44000
63,45,0.2257826087,1205,'3 3BR','2000-2009',84000
64,48,0.1653633073,700,'2 2BR','1990-1999',26470
65,32,0.8658333333,1097,'3 3BR','2000-2009',36000
66,54,0.0521806946,847,'3 3BR','1980-1989',68000
67,50,0.136728134,900,'4 4BR+','1980-1989',117000
68,80,0.1406835314,706,'1 1BR','1990-1999',0
69,37,0.2465538462,886,'4 4BR+','2000-2009',130000
70,33,0.45045517240000005,831,'3 3BR','2000-2009',145000
71,22,1.8031578947,538,'1 1BR','2000-2009',3800
72,27,0.0561312661,900,'4 4BR+','1980-1989',175000
73,28,0.0393846154,1137,'3 3BR','2000-2009',195000
74,24,0.2312684366,836,'2 2BR','1980-1989',25425
75,60,0.11533333330000001,783,'3 3BR','1980-1989',72000
76,20,0.3416356868,1042,'3 3BR','2000-2009',0
77,41,0.2128,1137,'3 3BR','2000-2009',0
78,35,0.1633714286,836,'2 2BR','1980-1989',70000
79,71,0.3543065693,1169,'4 4BR+','2000-2009',0
80,65,0.4330020357,783,'3 3BR','2000-2009',15644
81,19,0.3912,735,'1 1BR','1980-1989',25000
82,34,0.2502,1164,'3 3BR','2000-2009',20000
83,51,0.10791240880000001,925,'3 3BR','1980-1989',137000
84,22,0.14400000000000002,615,'2 2BR','1980-1989',18000
85,70,0.07605,1068,'4 4BR+','1980-1989',11483
86,34,0.1444123528,1567,'4 4BR+','2000-2009',135000
87,-9,-9.0,1205,'3 3BR','2000-2009',-9
88,44,0.19575,1075,'2 2BR','1980-1989',80000
89,54,0.3332015923,1742,'4 4BR+','2000-2009',0
90,-9,-9.0,1055,'1 1BR','2000-2009',-9
91,41,0.12270967740000001,831,'3 3BR','2000-2009',62000
92,36,0.0475710832,790,'3 3BR','2000-2009',535968
93,44,0.11237868210000002,790,'3 3BR','1980-1989',117000
94,82,0.086241734,896,'2 2BR','2000-2009',0
95,30,0.1635151515,807,'3 3BR','2000-2009',99000
96,41,0.15799052130000002,865,'3 3BR','2000-2009',105500
97,30,0.054923076900000006,951,'4 4BR+','2000-2009',78000
98,37,1.5390804597999999,1298,'4 4BR+','2000-2009',0
99,54,0.2604,1042,'3 3BR','2000-2009',50000
100,36,0.1556210526,778,'4 4BR+','1990-1999',94000
101,55,0.1564603581,2196,'4 4BR+','2000-2009',209033
102,57,0.1530508475,2196,'4 4BR+','1980-1989',0
103,30,1.5336,671,'3 3BR','1980-1989',0
104,59,1.04688,1143,'3 3BR','1980-1989',0
105,30,0.21224347829999998,935,'2 2BR','1980-1989',90000
106,50,0.1722043796,1291,'4 4BR+','1980-1989',54000
107,-9,-9.0,683,'2 2BR','1980-1989',-9
108,52,0.20943820219999998,1933,'4 4BR+','1980-1989',0
109,45,0.1227480916,886,'4 4BR+','1990-1999',0
110,-9,-9.0,882,'3 3BR','2000-2009',-9
111,56,0.035037594,833,'4 4BR+','1980-1989',158000
112,60,0.33565017880000003,572,'1 1BR','1980-1989',29638
113,36,0.1483987138,886,'4 4BR+','2000-2009',110000
114,-9,-9.0,714,'2 2BR','2000-2009',-9
115,65,0.2293237074,966,'3 3BR','1980-1989',0
116,52,0.17376,966,'3 3BR','1990-1999',75000
117,34,0.4180373832,1120,'4 4BR+','2000-2009',42800
118,78,0.39433846149999996,1120,'4 4BR+','1980-1989',0
119,35,0.19211678829999998,590,'2 2BR','1980-1989',40000
120,-9,-9.0,1097,'4 4BR+','2000-2009',-9
121,28,0.1997052632,1120,'4 4BR+','2000-2009',90000
122,51,0.2079036145,908,'3 3BR','1980-1989',80000
123,59,0.0245,672,'2 2BR','1980-1989',120000
124,53,0.4234285714,978,'3 3BR','2000-2009',42000
125,31,0.2944843049,1120,'4 4BR+','2000-2009',89000
126,36,0.21791999999999997,779,'2 2BR','1980-1989',50000
127,45,0.1517087794,1169,'4 4BR+','2000-2009',115000
128,42,0.1695428571,1362,'4 4BR+','2000-2009',70000
129,-9,-9.0,1399,'3 3BR','2000-2009',-9
130,60,0.23716363640000002,967,'2 2BR','1980-1989',55000
131,-9,-9.0,884,'3 3BR','2000-2009',-9
132,41,0.5266396761,884,'3 3BR','1980-1989',24700
133,64,0.3125274725,865,'3 3BR','2000-2009',10000
134,50,0.0714418605,985,'4 4BR+','1980-1989',26000
135,43,0.1505960265,1283,'4 4BR+','2000-2009',151000
136,39,0.0893216924,757,'3 3BR','2000-2009',0
137,43,0.1271707317,778,'2 2BR','1980-1989',82000
138,-9,-9.0,1274,'4 4BR+','2000-2009',-9
139,35,0.0525574418,1274,'4 4BR+','2000-2009',595968
140,30,1.0422857143000002,1274,'4 4BR+','2000-2009',14000
141,70,0.05064,1104,'3 3BR','1980-1989',0
142,42,0.5172105092,1274,'4 4BR+','1990-1999',77075
143,57,0.07200000000000001,726,'3 3BR','2000-2009',68000
144,-9,-9.0,726,'3 3BR','1980-1989',-9
145,76,0.441843318,1065,'2 2BR','1980-1989',0
146,53,0.45422222219999997,1275,'3 3BR','1980-1989',45000
147,55,0.4624448898,925,'3 3BR','1980-1989',36900
148,46,0.1746719973,818,'3 3BR','2000-2009',39000
149,82,0.15936,697,'2 2BR','1980-1989',0
150,42,0.5133333333,883,'4 4BR+','2000-2009',0
151,-9,-9.0,676,'1 1BR','1980-1989',-9
152,28,0.43082926829999996,778,'3 3BR','2000-2009',20000
153,36,0.2367457627,610,'2 2BR','1980-1989',29500
154,-9,-9.0,918,'3 3BR','2000-2009',-9
155,38,0.22951923079999997,883,'4 4BR+','1980-1989',120000
156,87,0.7304778104,896,'2 2BR','1990-1999',0
