,AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
0,43,0.513,680,'3 3BR','1980-1989',20000
1,44,0.2225915493,760,'4 4BR+','1980-1989',71000
2,58,0.2178312657,680,'3 3BR','1980-1989',63000
3,22,0.21745562129999998,519,'1 1BR','1980-1989',27040
4,48,0.28285714289999997,600,'1 1BR','1980-1989',14000
5,42,0.2922857143,788,'3 3BR','1980-1989',42000
6,-9,-9.0,702,'2 2BR','1980-1989',-9
7,23,0.14475,546,'2 2BR','1980-1989',48000
8,51,0.2962,680,'3 3BR','1980-1989',58000
9,47,0.1896,1081,'4 4BR+','2000-2009',125000
10,66,0.1062,1081,'4 4BR+','1980-1989',0
11,47,0.3072794118,1006,'3 3BR','1980-1989',54400
12,30,0.2142915669,874,'4 4BR+','1980-1989',439364
13,49,0.20656,916,'3 3BR','1980-1989',75000
14,60,0.19980487800000002,972,'3 3BR','1980-1989',0
15,47,0.0654,862,'3 3BR','2000-2009',80000
16,59,0.28984925629999997,629,'2 2BR','1990-1999',550
17,45,0.2545781777,862,'3 3BR','1990-1999',42000
18,54,0.3854404647,607,'2 2BR','1990-1999',65000
19,35,0.17735593219999998,892,'4 4BR+','2000-2009',57000
20,-9,-9.0,531,'1 1BR','1980-1989',-9
21,33,0.2062758621,972,'3 3BR','1980-1989',58000
22,42,0.0809174312,760,'4 4BR+','1990-1999',59050
23,37,0.3976363636,963,'4 4BR+','2000-2009',44000
24,52,0.2177647059,879,'3 3BR','2000-2009',136000
25,-9,-9.0,1034,'3 3BR','2000-2009',-9
26,27,0.24621176469999997,750,'1 1BR','1990-1999',42500
27,54,4.4472,1035,'4 4BR+','1980-1989',5000
28,37,16.404,833,'3 3BR','1980-1989',2000
29,52,0.1872187996,940,'4 4BR+','1990-1999',77883
30,70,0.5820560748,1080,'3 3BR','1980-1989',0
31,82,0.0833404129,1017,'2 2BR','1980-1989',0
32,46,0.2508,1168,'3 3BR','1980-1989',14000
33,56,0.055862069,2054,'4 4BR+','1990-1999',100000
34,44,0.18362068969999998,984,'3 3BR','1990-1999',86000
35,63,0.045579130999999995,759,'3 3BR','1990-1999',0
36,36,0.0,970,'1 1BR','1980-1989',5000
37,63,0.1552941176,1068,'4 4BR+','1980-1989',99000
38,56,0.38513595659999994,657,'2 2BR','1980-1989',24677
39,23,0.0818300654,841,'3 3BR','2000-2009',91000
40,28,0.1369930404,841,'3 3BR','2000-2009',69091
41,42,0.1414285714,841,'3 3BR','2000-2009',70000
42,51,0.1079294118,874,'4 4BR+','1980-1989',170000
43,-9,-9.0,631,'1 1BR','1980-1989',-9
44,26,0.20866666670000003,680,'3 3BR','1990-1999',90000
45,50,0.14663414630000002,834,'4 4BR+','1980-1989',164000
46,34,0.2086956522,890,'4 4BR+','1960-1979',23000
47,63,0.4280130293,564,'2 2BR','1980-1989',1216
48,57,0.1541538462,1121,'3 3BR','2000-2009',26000
49,31,0.34086075950000005,1328,'4 4BR+','2000-2009',75000
50,34,0.3947368421,687,'3 3BR','2000-2009',19000
51,-9,-9.0,712,'4 4BR+','1990-1999',-9
52,31,0.3530779165,1168,'3 3BR','2000-2009',41600
53,46,0.1776,724,'2 2BR','1990-1999',45000
54,-9,-9.0,1006,'3 3BR','2000-2009',-9
55,52,0.046772229000000005,827,'3 3BR','1980-1989',75000
56,54,0.047308541100000004,829,'3 3BR','1990-1999',139617
57,48,0.1333080569,800,'4 4BR+','1980-1989',103000
58,92,2.0,596,'0 Studio','1990-1999',0
59,35,0.18631802120000002,893,'4 4BR+','2000-2009',140000
60,29,0.5845714286,920,'4 4BR+','1980-1989',35000
61,26,0.2316,1240,'3 3BR','2000-2009',70000
62,22,-1.0,912,'2 2BR','1980-1989',10000
63,45,0.1802553191,1435,'4 4BR+','2000-2009',94000
64,58,0.0424,712,'3 3BR','1980-1989',150000
65,64,0.30256684489999996,912,'2 2BR','1980-1989',27200
66,-9,-9.0,631,'1 1BR','1980-1989',-9
67,-9,-9.0,712,'3 3BR','2000-2009',-9
68,28,0.1096666667,831,'3 3BR','2000-2009',72000
69,84,6.6369230769000005,686,'1 1BR','1980-1989',0
70,-9,-9.0,1087,'3 3BR','2000-2009',-9
71,49,0.1175,919,'4 4BR+','1980-1989',144000
72,48,0.2834437086,548,'2 2BR','1980-1989',0
73,63,0.0549056493,652,'2 2BR','1980-1989',0
74,45,0.1076756757,823,'3 3BR','1990-1999',185000
75,68,0.2701714286,1006,'4 4BR+','1980-1989',16000
76,32,0.036545454500000005,1367,'4 4BR+','2000-2009',110000
77,52,0.11919872179999999,1923,'4 4BR+','2000-2009',8000
78,39,0.15632432429999998,833,'3 3BR','2000-2009',37000
79,42,0.1373052632,806,'3 3BR','1980-1989',93000
80,80,0.14125,1006,'3 3BR','2000-2009',0
81,28,0.1986,788,'3 3BR','2000-2009',60000
82,53,0.0661774747,897,'4 4BR+','2000-2009',439364
83,50,0.2185333333,821,'4 4BR+','1990-1999',89000
84,63,0.1509295775,1389,'4 4BR+','1990-1999',70000
85,35,1.168,891,'1 1BR','1980-1989',4500
86,62,0.035037087,1765,'4 4BR+','1980-1989',18800
87,28,0.5112,610,'3 3BR','1980-1989',10000
88,57,0.2736,1100,'3 3BR','1980-1989',100000
89,28,0.1084,906,'2 2BR','1980-1989',60000
90,48,0.27792,1100,'3 3BR','1980-1989',50000
91,37,0.2557333333,623,'2 2BR','1980-1989',45000
92,50,0.0848537825,1914,'4 4BR+','1980-1989',400
93,43,0.04056,893,'4 4BR+','1990-1999',15000
94,30,0.1827,879,'3 3BR','2000-2009',80000
95,54,0.056103023499999995,748,'4 4BR+','1980-1989',178000
96,31,0.21095999999999998,643,'2 2BR','1980-1989',50000
97,34,0.128775,893,'4 4BR+','2000-2009',160000
98,63,0.2662686567,938,'3 3BR','1980-1989',0
99,50,0.17505882350000002,938,'3 3BR','1990-1999',68000
100,28,0.3624,1060,'4 4BR+','2000-2009',40000
101,76,0.1119448388,918,'3 3BR','1980-1989',0
102,33,0.37069625100000003,563,'2 2BR','1980-1989',18000
103,29,0.1391142857,1060,'4 4BR+','2000-2009',140000
104,49,0.3072,947,'3 3BR','1980-1989',70000
105,57,0.0428108108,629,'2 2BR','1980-1989',74000
106,34,0.3546206897,918,'3 3BR','1980-1989',29000
107,40,0.3295652174,1328,'4 4BR+','2000-2009',69000
108,34,0.3432827586,1364,'3 3BR','2000-2009',67500
109,50,0.12962818,969,'2 2BR','1980-1989',102200
110,37,0.2059945504,942,'2 2BR','1980-1989',55000
111,39,0.6795,834,'3 3BR','1980-1989',0
112,48,2.4981818182,902,'4 4BR+','1980-1989',2200
113,28,0.22096,1095,'3 3BR','1980-1989',75000
114,30,0.2036571429,1328,'4 4BR+','1980-1989',105000
115,40,0.807804878,702,'2 2BR','1980-1989',0
116,68,0.1718903036,997,'3 3BR','1980-1989',0
117,40,0.1681818182,1143,'4 4BR+','1990-1999',66000
118,55,0.3015706806,668,'3 3BR','2000-2009',35000
119,79,0.4845173042,668,'3 3BR','1980-1989',0
120,74,0.3566666667,903,'2 2BR','1980-1989',0
